Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,CA,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,CA,Mt. Biking,27,24,308,121
2018/2019,CA,Native Youth Olympics,0,0,0,0
2018/2019,CA,Riflery,6,5,63,47
2018/2019,CA,Rock Climbing,2,2,47,49
2018/2019,CA,Rodeo,8,10,35,49
2018/2019,CA,Roller Hockey,25,8,207,66
2018/2019,CA,Rugby,27,11,896,264
2018/2019,CA,Rythmic Gymnastics,0,0,0,0
2018/2019,CA,Sailing,22,20,188,120
2018/2019,CA,Sand Volleyball,31,64,683,1286
2018/2019,CA,Skiing -- Alpine,22,20,221,150
2018/2019,CA,Skiing -- Cross Country,35,5,43,35
2018/2019,CA,Snowboarding,19,18,216,110
2018/2019,CA,Soccer,1393,1376,54996,49342
2018/2019,CA,Softball -- Fast Pitch,67,1442,1712,32233
2018/2019,CA,Softball -- Slow Pitch,1,2,12,20
2018/2019,CA,Soft Tennis,0,0,0,0
2018/2019,CA,Squash,5,4,59,45
2018/2019,CA,Surfing,52,43,1034,462
2018/2019,CA,Swimming & Diving,973,985,21822,29576
2018/2019,CA,Synchronized Swimming,0,0,0,0
2018/2019,CA,Team Tennis,0,0,0,0
2018/2019,CA,Tennis,980,1039,19230,23546
2018/2019,CA,Track and Field -- Indoor,0,0,0,0
2018/2019,CA,Track and Field -- Outdoor,1261,1270,55335,45235
2018/2019,CA,Trap Shooting,24,22,297,132
2018/2019,CA,Ultimate Frisbee,6,4,91,48
2018/2019,CA,Unified Basketball,0,0,0,0
2018/2019,CA,Unified Flag Football,0,0,0,0
2018/2019,CA,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,CA,Volleyball,944,1483,22224,45997
2018/2019,CA,Water Polo,619,626,17304,16568
2018/2019,CA,Weight Lifting,11,9,565,228
2018/2019,CA,Wrestling,904,759,22602,6014
2018/2019,CO,Adapted Basketball,0,0,0,0
2018/2019,CO,Adapted Bocce - Indoor,0,0,0,0
2018/2019,CO,Adapted Bowling,0,0,0,0
2018/2019,CO,Adapted Floor Hockey,0,0,0,0
2018/2019,CO,Adapted Football,0,0,0,0
2018/2019,CO,Adapted Soccer,0,0,0,0
2018/2019,CO,Adapted Softball,0,0,0,0
2018/2019,CO,Adapted Track,0,0,0,0
2018/2019,CO,Adapted Volleyball,0,0,0,0
2018/2019,CO,Adaptive Corn Toss,0,0,0,0
2018/2019,CO,Adaptive Golf,0,0,0,0
2018/2019,CO,Adaptive Handball,0,0,0,0
2018/2019,CO,Adaptive Strength Training,0,0,0,0
2018/2019,CO,Adaptive Tennis,0,0,0,0
2018/2019,CO,Air Riflery,0,0,0,0
2018/2019,CO,Archery,0,0,0,0
2018/2019,CO,Badminton,0,0,0,0
2018/2019,CO,Baseball,286,0,7825,183
2018/2019,CO,Basketball,336,333,11723,9045
2018/2019,CO,Bass Fishing,0,0,0,0
2018/2019,CO,Beach Volleyball,0,0,0,0
2018/2019,CO,Bocce - Outdoor,0,0,0,0
2018/2019,CO,Bowling,0,0,0,0
